codigo_producto,nombre_producto,tipo_b_s,categoria_codigo,subcategoria_codigo,procedencia_pais,iva_pct,precio_lista_1,precio_lista_2,precio_lista_3,activo_catalogo,lote_export,marca_color_catalogo
000104,"CEPILLO DE CITOLOGIA USO MULTIPROPOSITO, DIAMETRO 1.7MM, LONGITUD DE VAINA 160CM Y DIAMETRO 1.7MM, DESECHABLE",B,20,15,ESTADOS UNIDOS,,"0,00000000","0,00000000","0,00000000",N,0,GRIS
000342,"BALON DILATADOR ELIMINATOR PET ESOFAGICO, DIAMETRO EXT. INFLADO 10MM Y 30FR, LONGITUD DE BALON 8CM, LONGITUD 180CM, DESECHABLE",B,8,15,ESTADOS UNIDOS,,,,,N,0,AZUL
000343,"BALON DILATADOR ELIMINATOR PET ESOFAGICO, DIAMETRO EXT. INFLADO 12MM Y 36FR, LONGITUD DE BALON 8CM, LONGITUD 180CM, DESECHABLE",B,8,15,ESTADOS UNIDOS,,,,,N,0,ROJO
000344,"BALON DILATADOR ELIMINATOR PET ESOFAGICO, DIAMETRO EXT. INFLADO 15MM Y 45FR, LONGITUD DE BALON 8CM, LONGITUD 180CM, DESECHABLE",B,8,15,ESTADOS UNIDOS,,,,,N,0,VERDE
000349,"BALON DILATADOR ELIMINATOR PET BILIAR,BALON 8MM X 3CM,LONGITUD 3CM,CATETER DIAMETRO EXTER. 5FR/1.7MM CON LONGITUD 180CM,DESECHABLE",B,8,15,ESTADOS UNIDOS,,,,,N,0,AMARILLO
000381,"PINZA DE BIOPSIA PRECISOR EXL ESTANDAR, MANDIBULA CON DISENO LAGARTO Y DIAMETRO INTERNO 2.3MM, LONGITUD 160CM, AMARILLO",B,8,15,ESTADOS UNIDOS,,,,,N,0,NARANJA
000383,"PINZA DE BIOPSIA PRECISOR EXL ESTANDAR, MANDIBULA CON DISENO OVALADA Y DIAMETRO INTERNO 2.3MM, LONGITUD 160CM, AMARILLO",B,8,15,ESTADOS UNIDOS,,,,,N,0,VIOLETA
000474,"ASA DE POLIPECTOMIA OPTIMIZER LAZO MEDIANO CON DISENO OVALADO, CUERDA ACTIVA OLYMPUS, VAINA DIAMETRO EXTER. 2.3MM, LONGITUD 23CM, DESECHABLE",B,20,15,ESTADOS UNIDOS,,,,,N,0,GRIS
0-00-4S41C,"ARTICULACION DE RODILLA PEDIATRICA 4 BARRAS, ALUMINIO, MC 55KG.",B,21,65,HONG KONG,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
000615,"CEPILLO DE LIMPIEZA PARA CANAL ENDOSCOPICO DE DOBLE PUNTA, DIAMETRO 6.4MM, LONGITUD 7.4MM, LONGITUD DE EJE 230CM, DESECHABLE",B,20,15,ESTADOS UNIDOS,,,,,N,0,ROJO
